KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-07,24.333,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-10,24.282,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-11,24.288,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-12,24.229,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-13,24.191,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-14,24.198,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-17,24.169,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-18,24.188,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-19,24.159,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-20,24.179,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-21,24.235,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-24,24.169,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-25,24.133,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-26,24.168,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-27,24.174,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
