country,product,tier,localName,monthly,yearly,storageGB,services,currency,vatIncluded,url,accessed
LU,iphone18Pro,from,,1430.1,,,,EUR,Y,https://www.apple.com/lu/shop/buy-iphone/iphone-18-pro,2026-09-25
LU,iphoneDuo,from,,2261.68,,,,EUR,Y,https://www.apple.com/lu/shop/buy-iphone/iphone-duo,2026-09-26
LU,macbookNeo,from,,772.59,,,,EUR,Y,https://www.apple.com/lu/shop/buy-mac/macbook-neo,2026-09-26
LU,watchSeries12,from,,434.15,,,,EUR,Y,https://www.apple.com/lu/shop/buy-watch/apple-watch,2026-09-26
NL,appleOne,individual,Individueel,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/nl/apple-one/,2026-09-25
NL,appleOne,family,Gezin,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/nl/apple-one/,2026-09-25
NL,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/nl/apple-fitness-plus/,2026-09-25
NL,iphone18Pro,from,,1479,,,,EUR,,https://www.apple.com/nl/shop/buy-iphone/iphone-18-pro,2026-09-25
NL,iphoneDuo,from,,2339,,,,EUR,,https://www.apple.com/nl/shop/buy-iphone/iphone-duo,2026-09-26
NL,macbookNeo,from,,799,,,,EUR,,https://www.apple.com/nl/shop/buy-mac/macbook-neo,2026-09-26
NL,watchSeries12,from,,449,,,,EUR,,https://www.apple.com/nl/shop/buy-watch/apple-watch,2026-09-26
PL,appleOne,individual,Dla Ciebie,42.99,,50,music;tv;arcade;icloud,PLN,,https://www.apple.com/pl/apple-one/,2026-09-25
PL,appleOne,family,Dla rodziny,59.99,,200,music;tv;arcade;icloud,PLN,,https://www.apple.com/pl/apple-one/,2026-09-25
PL,fitnessPlus,standalone,,19.99,159,,,PLN,,https://www.apple.com/pl/apple-fitness-plus/,2026-09-25
PL,iphone18Pro,from,,6299,,,,PLN,Y,https://www.apple.com/pl/shop/buy-iphone/iphone-18-pro,2026-09-25
PL,iphoneDuo,from,,9999,,,,PLN,Y,https://www.apple.com/pl/shop/buy-iphone/iphone-duo,2026-09-26
PL,macbookNeo,from,,3499,,,,PLN,Y,https://www.apple.com/pl/shop/buy-mac/macbook-neo,2026-09-26
PL,watchSeries12,from,,1899,,,,PLN,Y,https://www.apple.com/pl/shop/buy-watch/apple-watch,2026-09-26
PT,appleOne,individual,Individual,16.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/pt/apple-one/,2026-09-25
PT,appleOne,family,Familiar,21.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/pt/apple-one/,2026-09-25
PT,appleOne,premier,Premium,30.95,,2048,music;tv;arcade;icloud;fitness,EUR,,https://www.apple.com/pt/apple-one/,2026-09-25
PT,fitnessPlus,standalone,,9.99,59.99,,,EUR,,https://www.apple.com/pt/apple-fitness-plus/,2026-09-25
PT,iphone18Pro,from,,1499,,,,EUR,Y,https://www.apple.com/pt/shop/buy-iphone/iphone-18-pro,2026-09-25
PT,iphoneDuo,from,,2399,,,,EUR,Y,https://www.apple.com/pt/shop/buy-iphone/iphone-duo,2026-09-26
PT,macbookNeo,from,,799,,,,EUR,Y,https://www.apple.com/pt/shop/buy-mac/macbook-neo,2026-09-26
PT,watchSeries12,from,,459,,,,EUR,Y,https://www.apple.com/pt/shop/buy-watch/apple-watch,2026-09-26
ES,appleOne,individual,Individual,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/es/apple-one/,2026-09-25
ES,appleOne,family,Familiar,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/es/apple-one/,2026-09-25
ES,appleOne,premier,Premium,34.95,,2048,music;tv;arcade;icloud;fitness,EUR,,https://www.apple.com/es/apple-one/,2026-09-25
ES,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/es/apple-fitness-plus/,2026-09-25
ES,iphone18Pro,from,,1469,,,,EUR,,https://www.apple.com/es/shop/buy-iphone/iphone-18-pro,2026-09-25
ES,iphoneDuo,from,,2339,,,,EUR,,https://www.apple.com/es/shop/buy-iphone/iphone-duo,2026-09-26
ES,macbookNeo,from,,799,,,,EUR,,https://www.apple.com/es/shop/buy-mac/macbook-neo,2026-09-26
ES,watchSeries12,from,,449,,,,EUR,,https://www.apple.com/es/shop/buy-watch/apple-watch,2026-09-26
